Original Ingredient,Cleaned Ingredient
고운고춧가루 1g,고운고춧
고추(5g),고추
고추 8g,고추
고추5g,고추
고추기름 0.5g,고추기름
고추기름 2g,고추기름
고추기름(5g),고추기름
고추기름(10g),고추기름
고추기름(40g),고추기름
고추기름(15g),고추기름
고추기름 3g,고추기름
고추기름 약간,고추기름 약간
고추냉이(2g),고추냉이
고추냉이 5g,고추냉이
고추냉이 0.5g,고추냉이
고추자 3g,고추자
고추장 10g,고추장
고추장 3g,고추장
고추장(2g),고추장
고추장 1g,고추장
고추장 15g(1큰술),고추장
고추장(3g),고추장
고추장 6g,고추장
고추장 5g(1작은술),고추장
고추장 2g,고추장
고추장 0.6g,고추장
고추장(1g),고추장
고추장 2.5g,고추장
고추장(5g),고추장
고추장(3Ts),고추장
고추장(30g),고추장
고추장(20g),고추장
고추장(0.3Ts),고추장
고추장(0.5Ts),고추장
고추장(50g),고추장
고추장 20g,고추장
고추장(10g),고추장
고추장(½Ts),고추장
고추장 15g,고추장
고추피클(20g),고추피클
고춧가루(2ts),고춧
고춧가루(15g),고춧
고춧가루 0.5g,고춧
고춧가루(10g),고춧
고춧가루 2g(1/2작은술),고춧
고춧가루 2g,고춧
고춧가루(½Ts),고춧
고춧가루(5g),고춧
고춧가루 1.7g,고춧
고춧가루 4g,고춧
고춧가루 5g,고춧
고춧가루 15g,고춧
고춧가루 0.4g,고춧
고춧가루(1g),고춧
고춧가루5g,고춧
고춧가루 0.5,고춧
고춧가루 0.17g,고춧
고춧가루(1.5Ts),고춧
고춧가루(20g),고춧
고춧가루 2g(1/3작은술),고춧
고춧가루 2.5g,고춧
고춧가루 8g,고춧
고춧가루(1t),고춧
고춧가루(3Ts),고춧
매운고춧가루 2g,고춧
고춧가루 1g,고춧
고춧가루 20g(1큰술),고춧
고춧가루 5g(1작은술),고춧
고춧가루(0.7g),고춧
고춧가루(2g),고춧
고춧가루 10g,고춧
고춧가루(6g),고춧
고춧가루(1Ts),고춧
고춧가루(4g),고춧
고춧가루(3g),고춧
고춧가루 0.8g,고춧
고춧가루 0.6,고춧
고춧가루 3g,고춧
고춧가루 0.6g,고춧
"고춧가루(5g)
된장육수 된장(5g)",고춧 된장육수 된장
"고춧가루(20g)
발 사믹식초(13g)
양념 다진 마늘(15g)",고춧 발 사믹식초 양념 마늘
"고춧가루(5g)
소스 설탕(15g)",고춧 소스 설탕
"고춧가루(1g)
•양념 : 참깨(1g)",고춧 양념 참깨
곤드레나물(50g),곤드레나물
곤드레나물(30g),곤드레나물
곤약(50g),곤약
곤약(100g),곤약
곤약 10g,곤약
곤약(150g),곤약
냉동 곤약(200g),곤약
곤약 2.5g,곤약
곤약 100g,곤약
곤약국수 200g,곤약국수
●곤약냉채 : 실곤약 50g,곤약냉채 실곤약
곤약면(80g),곤약면
곤약미(30g),곤약미
골뱅이 25g,골뱅이
골뱅이(50g),골뱅이
골뱅이 국물(1Ts),골뱅이 국물
골파 15g,골파
곰피 20g,곰피
곶감(25g),곶감
곶감 88g,곶감
곶감 30g,곶감
곶감(50g),곶감
곶감(2개),곶감
곶감 10g,곶감
과메기 60g,과메기
과일(20g),과일
관자(4개),관자
관자(2개),관자
관자(200g),관자
관자(70g),관자
관자 100g,관자
관자(20g),관자
관자(5개),관자
광어(150g),광어
광어(1마리),광어
구기자 5g,구기자
국간장 2g,국간장
국간장 0.1g,국간장
국간장 5g(1작은술),국간장
국간장 2.5g,국간장
국간장(1.5g),국간장
국간장 1.4g,국간장
국간장 4g,국간장
국간장(5g),국간장
국간장 1g,국간장
국간장 1.5g,국간장
