Original Ingredient,Cleaned Ingredient
간장 2g(1/2작은술),간장
간장 7.5g,간장
간장 1.2g,간장
간장10g,간장
간장(1g),간장
간장(1t),간장
간장 3,간장
간장(3g),간장
간장 1.3g,간장
간장(15g),간장
간장 1g,간장
간장(8g),간장
간장(2g),간장
간장(0.5Ts),간장
"간장(3g)
물(100ml)",간장
"간장(1g)
생강(0.1g)",간장 생강
"간장 30g(2큰술)
●장식 : 달걀 50g(1개)",간장 달걀
간편 어간장 15g,어간장
"간편 어간장 15g
국물 : 오렌지주스 50g",어간장 오렌지
"간편 어간장 15g
양념장 : 고추장 15g",어간장 고추장
"간편 어간장 15g
통깨 2g",어간장 통깨
갈비 50g),갈비
갈은 돼지고기 150g,돼지고기
갈은 소고기 150g,소고기
갈치구이 : 갈치 50g,갈치
감귤 20g,감귤
감말랭이(10g),감
감식초 15g,감식초
감식초 1.25g,감식초
감자 1개,감자
삶은 감자(150g),감자
감자(5g),감자
감자(¼개),감자
감자 10g,감자
감자(30g),감자
감자 150g,감자
감자 25g,감자
감자(1개),감자
감자 15g,감자
감자(50g),감자
감자 80g,감자
감자 30g,감자
감자(60g),감자
감자 33g,감자
감자(400g),감자
감자 5g,감자
감자(150g),감자
감자 4g,감자
감자 60g,감자
감자 40g,감자
감자 220g,감자
감자(27g),감자
감자 70g,감자
감자(20g),감자
감자 10g(4×3×1cm),감자
감자(200g),감자
감자 20g,감자
감자(10g),감자
감자 50g,감자
감자 100g,감자
"감자(30g)
무(30g)",감자 무
"감자 40g
방울토마토 100g",감자 방울토마토
"감자(20g)
버터(10g)",감자 버터
"감자 30g
올리브오일 15g",감자 올리브오일
감자전분(50g),감자
감자전분 15g,감자
감자전분(2Ts),감자
감자전분 10,감자
감자전분 50g,감자
"감자전분(10g)
밀가루(7g)",감자 밀
"감자튀김(100g)<br>
• [추가 재료] 감자(2개=360g)",감자
갑오징어 50g,오징어
강황가루(20g),강항
강황가루(10g),강항
강황가루(2ts),강항
강황가루(2Ts),강항
강황가루 2g,강항
강황(1Ts),강항
강황가루(2g),강항
강황가루 15g,강항
강낭콩 5g(1작은술),콩
"강낭콩 20g
당근 20g",콩 당근
(반죽재료) 강력 쌀가루 240g,쌀
강력밀가루 150g,밀
(반죽재료) 강력분 500g,밀
강력분 90g,밀
(반죽재료) 강력분 290g,밀
(반죽재료) 강력분60g,밀
(반죽재료)강력분 300g,밀
강력분 50g,밀
(반죽재료) 강력분 300g,밀
강력분(275g),밀
(반죽재료) 강력분 225g,밀
(반죽재료) 강력분 250g,밀
강력분 200g,밀
강력분 25g,밀
강력분 250g,밀
(반죽재료) 강력분 675g,밀
강력분 300g,밀
(반죽재료) 강력분 320g,밀
강력분 100g,밀
강황쌀(100g),강황 쌀
거피녹두 12.5,콩
거피들깨가루 6g,들깨
건 로즈마리 1g,로즈마리
건 표고버섯 10g,버섯
●건강그린 샐러드 : 양상추 40g(1장),양상추
건고추 3g,고추
건고추(3개),고추
건곤드레 10g,곤드레
건다시마 0.3g,다시마
건다시마 0.1g,다시마
건다시마 5g,다시마
건다시마 1g,다시마
건다시마 3g,다시마
건다시마 2),다시마
건다시마 2.5g,다시마
건당면 5g,당면
건대추 1g,대추
건도토리묵 30g(불린것 50g),도토리묵
건두부(10장),두부
건로즈마리 1g,로즈마리
건로즈메리(2g),로즈마리
건멸치 2.5,멸치
건멸치(20g),멸치
건목이버섯 5g,버섯
건목이버섯(10g),버섯
건무화과(5g),무화과
건미역 2g,미역
건미역 4g,미역
건미역 1.5g,미역
건미역(20g),미역
"건바질 2g
감자 60g",바질 감자
건블루베리(5g),블루베리
건새우(20g),새우
건새우(1컵),새우
건새우 0.3g,새우
건새우 10g,새우
건새우 3g,새우
다진 건새우(5g),새우
건새우(10g),새우
건새우 25g,새우
"건새우(20g)
들깨가루(30g)",새우 들깨
"건새우(15g)
- 육수 : 건새우(15g)",새우
건오징어 5 양념: 밀가루 1.25,오징어 밀
건조다시마 사방 10cm 1장,다시마
"건조미역 10g
찹쌀 50g",미역 쌀
건조미역줄기 10g,미역
"건조미역줄기 10g
맛장 : 일본된장 15g",미역 된장
건조체리 15g,체리
건청양고추 2.5g,고추
건취나물(10g),취나물
건크랜베리 20g,크랜베리
건타임 0.5g,타임
건포도 150g,포도
건포도 2g,포도
건포도 5g,포도
건포도 5알,포도
건포도 20g,포도
건포도(5g),포도
건포도(20g),포도
건포도(8g),포도
건포도 10g,포도
건포도 4g,포도
"건포도 20g 
(아몬드우유) 아몬드 30g",포도 아몬드
건표고버섯 5g,버섯
건표고버섯 8g,버섯
건표고버섯(20g),버섯
건표고버섯 10g,버섯
건표고버섯 0.1g,버섯
건표고버섯 3g,버섯
건표고버섯 불릴 물 150g,""
건함초(3g),함초
건홍고추 1,고추
검정깨(볶은 것) 0.5,검정깨
검정깨 5g,검정깨
검정깨 0.01g,검정깨
검정깨 2g,검정깨
검정깨묵) 각 25g씩,검정깨
"검정깨묵 각각 25g
귀리밥 150g",검정깨 귀리
검정콩 10g,콩
검정콩(서리태) 2.7g,콩
게맛살 20g,게맛살
게맛살(15g),게맛살
"게맛살(30g)
- 곁들임채소 : 어린잎(10g)",게맛살 어린잎
게살 17.5g,게
게살(50g),게
게살(½컵),게
게살(크래미) 10g,게
게살냉동 50g,게
게피 0.5g,게피
겨자 1g,겨자
겨자가루(20g),겨자
겨자가루(10g),겨자
겨자(5g),겨자
겨자 0.5g,겨자
겨자 2g,겨자
겨자 5g,겨자
겨자가루 5g,겨자
겨자가루(10g).,겨자
겨잣가루(10g),겨잣
견과류(1컵),견과류
다진 견과류(20g),견과류
견과류 10g,견과류
견과류(20g),견과류
견과류(8g),견과류
견과류(30g),견과류
견과류(5Ts),견과류
견과류 15g,견과류
"견과류(16g)
단촛물 설탕(3g)",견과류
견과류 : 아몬드,아몬드
계란20g,계란
계란 80g,계란
계란 20g,계란
계란 55g,계란
계란 65g(1.5개),계란
계란 5,계란
계란 75g(1.5개),계란
계란 10g,계란
계란 7,계란
계란 20g(0.3개),계란
계란 110g,계란
계란 60g,계란
계란 150g,계란
"계란 60g
다진마늘 15g",계란 마늘
"계란 60g
소스 : 저염간장 30g",계란 간장
계란 32.5g 후추 0.1g,계란 후추
계란노른자 5g,계란
계란노른자 25g,계란
계피(5g),계피
계피가루(8g),계피
계피가루(0.2g),계피
계피가루 2g,계피
계피가루적당량,계피
계피가루 5g,계피
계피가루(20g),계피
계피(10g),계피
계피가루 1g,계피
계피가루 0.1g,계피
계피가루 0.25g,계피
계피가루 0.2g,계피
계피가루(1g),계피
계피가루(10g),계피
고구마 15g,고구마
고구마(15g),고구마
고구마(50g),고구마
고구마(13g),고구마
고구마(75g),고구마
고구마 90g,고구마
고구마 35g,고구마
고구마 70g,고구마
고구마(180g),고구마
고구마(175g),고구마
고구마(30g),고구마
고구마(100g),고구마
고구마 50g,고구마
(속재료)  고구마 30g,고구마
고구마(35g),고구마
고구마 150g,고구마
고구마 30g,고구마
고구마(20g),고구마
고구마 40g,고구마
고구마 60g,고구마
고구마(25g),고구마
고구마(200g),고구마
고구마(120g),고구마
고구마(1개),고구마
고구마 100g,고구마
고구마(150g),고구마
고구마 20g,고구마
고구마(130g),고구마
고구마 다이스 100g,고구마
고구마순 25g,고구마
고구마순(10g),고구마
고구마순 60g,고구마
고구마칩(5g),고구마
고등어(1/2마리),고등어
고등어 50g,고등어
고등어(1마리),고등어
냉동고등어 300g,고등어
고등어 70g,고등어
고등어 35g,고등어
고사리 30g,고사리
고사리 15g,고사리
고사리 25g,고사리
고사리 20g,고사리
고사리(20g),고사리
고사리 10g,고사리
"고사리(20g)
표고버섯(20g)",고사리 버섯
고수(10g),고수
고운 고추가루 1,고추
고운 고춧가루(2g),고추
고운 고춧가루(0.3Ts),고추
고운 고춧가루 1.25g,고추
고운 고춧가루 0.85g,고추
고운 고춧가루 1g,고추
고운 고춧가루(0.5ts),고추
고운 소금(0.3g),고추
고운고춧가루 1g,고추
고추(5g),고추
고추 8g,고추
고추5g,고추
고추기름 0.5g,고추기름
고추기름 2g,고추기름
고추기름(5g),고추기름
고추기름(10g),고추기름
고추기름(40g),고추기름
고추기름(15g),고추기름
고추기름 3g,고추기름
고추기름 약간,고추기름
고추냉이(2g),고추냉이
고추냉이 5g,고추냉이
고추냉이 0.5g,고추냉이
고추자 3g,고추장
고추장 10g,고추장
고추장 3g,고추장
고추장(2g),고추장
고추장 1g,고추장
고추장 15g(1큰술),고추장
고추장(3g),고추장
고추장 6g,고추장
고추장 5g(1작은술),고추장
고추장 2g,고추장
고추장 0.6g,고추장
고추장(1g),고추장
고추장 2.5g,고추장
고추장(5g),고추장
고추장(3Ts),고추장
고추장(30g),고추장
고추장(20g),고추장
고추장(0.3Ts),고추장
고추장(0.5Ts),고추장
고추장(50g),고추장
고추장 20g,고추장
고추장(10g),고추장
고추장(½Ts),고추장
고추장 15g,고추장
고추피클(20g),고추피클
고춧가루(2ts),고추
고춧가루(15g),고추
고춧가루 0.5g,고추
고춧가루(10g),고추
고춧가루 2g(1/2작은술),고추
고춧가루 2g,고추
고춧가루(½Ts),고추
고춧가루(5g),고추
고춧가루 1.7g,고추
고춧가루 4g,고추
고춧가루 5g,고추
고춧가루 15g,고추
고춧가루 0.4g,고추
고춧가루(1g),고추
고춧가루5g,고추
고춧가루 0.5,고추
고춧가루 0.17g,고추
고춧가루(1.5Ts),고추
고춧가루(20g),고추
고춧가루 2g(1/3작은술),고추
고춧가루 2.5g,고추
고춧가루 8g,고추
고춧가루(1t),고추
고춧가루(3Ts),고추
매운고춧가루 2g,고추
고춧가루 1g,고추
고춧가루 20g(1큰술),고추
고춧가루 5g(1작은술),고추
고춧가루(0.7g),고추
고춧가루(2g),고추
고춧가루 10g,고추
고춧가루(6g),고추
고춧가루(1Ts),고추
고춧가루(4g),고추
고춧가루(3g),고추
고춧가루 0.8g,고추
고춧가루 0.6,고추
고춧가루 3g,고추
고춧가루 0.6g,고추
"고춧가루(5g)
된장육수 된장(5g)",고추 된장
"고춧가루(20g)
발 사믹식초(13g)
양념 다진 마늘(15g)",고추 발사믹식초 마늘
"고춧가루(5g)
소스 설탕(15g)",고추 설탕
"고춧가루(1g)
•양념 : 참깨(1g)",고추 참깨
곤드레나물(50g),곤드레나물
곤드레나물(30g),곤드레나물
곤약(50g),곤약
곤약(100g),곤약
곤약 10g,곤약
곤약(150g),곤약
냉동 곤약(200g),곤약
곤약 2.5g,곤약
곤약 100g,곤약
곤약국수 200g,곤약
●곤약냉채 : 실곤약 50g,곤약
곤약면(80g),곤약
곤약미(30g),곤약
골뱅이 25g,골뱅이
골뱅이(50g),골뱅이
골뱅이 국물(1Ts),골뱅이
골파 15g,파
곰피 20g,곰피
곶감(25g),감
곶감 88g,감
곶감 30g,감
곶감(50g),감
곶감(2개),감
곶감 10g,감
과메기 60g,과메기
과일(20g),과일
관자(4개),관자
관자(2개),관자
관자(200g),관자
관자(70g),관자
관자 100g,관자
관자(20g),관자
관자(5개),관자
광어(150g),광어
광어(1마리),광어
구기자 5g,구기자
국간장 2g,간장
국간장 0.1g,간장
국간장 5g(1작은술),간장
국간장 2.5g,간장
국간장(1.5g),간장
국간장 1.4g,간장
국간장 4g,간장
국간장(5g),간장
국간장 1g,간장
국간장 1.5g,간장
국간장 3g,간장
국간장 5,간장
국간장 0.4g,간장
국간장 3g - 국물 : 다시마국물 100g(건다시마 5g),간장 다시마
국멸치 1.3g,멸치
국멸치 2g,멸치
국멸치 5g,멸치
국멸치 3g,멸치
국멸치 0.3g,멸치
국수(100g),국수
굴 30g,굴
굴 50,굴
굴 25g,굴
굴 20g,굴
굴소스(20g),굴소스
굴소스 2g,굴소스
굴소스 3g,굴소스
굴소스(10g),굴소스
굴소스(1.5Ts),굴소스
굴소스(5g),굴소스
굴소스 0.3,굴소스
굴소스 1.5,굴소스
굴소스 1g,굴소스
굵게 다진 사과(8g),사과
굵은 고춧가루 1g,고추
굵은 고춧가루 5g,고추
굵은 고춧가루 1.7g,고추
굵은 면발 라면(55g),라면면
"굵은 소금(5g)
양파(20g)",소금 양파
굵은소금적당량,소금
굵은소금 0.5g,소금
귀리 20g,귀리
귀리(100g),귀리
귀리 30g,귀리
귀리밥 100g,귀리
귀리밥 200g,귀리
귀리밥 50g,귀리
귤(60g),귤
귤 즙 10g,귤
귤병(20g),귤
귤통조림 20g,귤
그라나파다노 치즈(1Ts),치즈
그라나파다노치즈(1Ts),치즈
그라놀라 30g,그라놀라
그릭요거트(150g),요거트
그릭요거트(45g),요거트
그린 샐러드적당량[불고기 드래싱] 풋고추 3g,샐러드 풋고추
●그린매쉬드포테이토 : 감자 80g(1/2개),감자
그린비타민 8g,그린비타민
그린빈 10g,그린빈
그린빈스 10g,그린빈스
그린치커리(5g),그린치커리
"그린커리
페이스트(50g)",그린커리 페이스트
근대 50g,근대
근대 20g,근대
근대쌈밥 : 쌀 70g,근대 쌀
금태 50g,금태
기름 10g,기름
기름5g,기름
"2인분 기준<br>
• [가정 간편식 재료] 고등어(1마리=250g)",고등어
"2인분 기준<br>

• [가정 간편식 재료] 누들 떡볶이 떡(20개",떡
"2인분 기준<br>
• [간편식 재료] 메밀면(생면",메밀면
"2인분 기준<br>
• [가정 간편식 재료] 배추(200g)",배추
"2인분 기준<br>
• [가정 간편식 재료] 새우(50g)",새우
"2인분 기준<br>
• [가정 간편식 재료] 소고기(180g)",소고기
"2인분 기준<br>
• [가정 간편식 재료] 순두부(1/2봉지=175g)",두부
"2인분 기준<br>
• [간편식 재료] 쌈두부(18g)",두부
"2인분 기준<br>
•[간편식 재료] 알배추(40g)",배추
"2인분 기준<br>
• [간편식 재료] 커리 소스(80g)",커리 소스
김 0.5,김
김(10g),김
김 1.3,김
김 4g(1장),김
김(3g),김
김(2장),김
김(2g),김
김가루(2g),김
김 10g,김
김 2g,김
김(5g),김
구운 김(1장),김
김 0.3g,김
김밥용 김(2g),김
김장김치 20g,김치
김치(30g),김치
김치 15g,김치
[ 2인분 ] 김치(¼포기),김치
김치 140g,김치
김치 70g,김치
김치 8g,김치
김치(40g),김치
김치(140g),김치
"김치(50g)
두부(40g)",김치 두부
"김치(20g)
떡볶이떡(20g)",김치 떡
까나리액젓(20g),까나리액젓
까나리액젓 3g,까나리액젓
까망베르치즈 8g,치즈
깍두기 5,깍두기
깐대파 3.5g,대파
깐대파 2g,대파
깐들깨가루 17g,들깨
깐마늘 1.1g,마늘
깐마늘 0.3g,마늘
깐마늘 1.2g,마늘
깐밤 1.1g,밤
깐밤 5g,밤
깐생강 0.2g,생강
깐생강 0.3g,생강
깐양파 5g,양파
깐양파 1.1g,양파
깐양파 9.5g,양파
깐양파 2g,양파
깐양파 3.7g,양파
깐연근 1.7g,연근
깐연근 22.18g,연근
깐호두 5g,호두
검은 깨 5g,깨
검은깨 3g,깨
깨 15g(1큰술),깨
깨(1g),깨
검은깨(5g),깨
검은깨 5g(1작은술),깨
깨 5g,깨
깨 1g,깨
검은깨 1g,깨
검은깨(1g),깨
깨 2g,깨
깨(2g),깨
검은깨 5g,깨
검은깨 2g,깨
검은깨 1.25g,깨
"검은깨 8g(1⅔작은술)
고명
청국장가루 10g(1큰술)",깨 청국장
깨소금 1.3g,깨
깨소금 1,깨
깨소금 0.5g,깨
깨소금 1g,깨
깨소금 2g,깨
깨소금 0.5,깨
깨소금 3g,깨
깻잎 2.5g,깻잎
깻잎(3장),깻잎
깻잎 6g,깻잎
깻잎(3g),깻잎
깻잎 10g(10장),깻잎
깻잎(6g),깻잎
깻잎 12장(20g),깻잎
깻잎(10장),깻잎
깻잎(2g),깻잎
깻잎(15g),깻잎
깻잎(20장),깻잎
깻잎(5장),깻잎
깻잎(10g),깻잎
깻잎(7.5g),깻잎
깻잎 10g,깻잎
깻잎(4장),깻잎
깻잎 5g,깻잎
깻잎(1g),깻잎
깻잎(2장),깻잎
깻잎 1.5g,깻잎
깻잎(20g),깻잎
깻잎(5g),깻잎
"깻잎(10g)
느타리버섯(15g)",깻잎 버섯
"깻잎(10g)
당근(20g)",깻잎 당근
"깻잎(10g)
양파(20g)",깻잎 양파
"깻잎(1g)
육수 무(50g)",깻잎 무
깻잎 3g [소스소개]저나트륨초고추장소스:고추가루 1g,깻잎 고추
"깻잎(10g)
홍파프리카(20g)",깻잎 파프리카
"깻잎(5g)<br>
• [추가 재료] 두부(150g)",깻잎 두부
깻잎순 3g,깻잎
깻잎장아찌(30g),깻잎장아찌
꼬막 60g(꼬막살 20g),꼬막
"꼬치(3개)
- 소스 : 고추장(20g)",고추장
"꼬치용 꼬치 6개
●레몬 들깨 소스: 들깨가루 45g(3큰술)",레몬 들깨
꽁치 60g,꽁치
꽃게 70g,게
꽃게(30g),게
꽃게 70g(꽃게살 30g),게
꽃게 120g,게
꽃게 8.2g,게
[ 2인분 ] 꽈리고추(2줌=100g),고추
꽈리고추(5개),고추
꽈리고추 50g,고추
"꽈리고추 25g
대파채 : 대파 25g",고추 대파
꽈리고추 4.2g [소스소개] 저나트륨양념장:고추장 2.5g,고추장
"꽈리고추(15g)
조림장 감자전분(6g)",고추 감자전분
꿀 15g(1큰술),꿀
꿀 2g,꿀
꿀 2.5g,꿀
꿀(10g),꿀
꿀 15g,꿀
꿀 1g,꿀
꿀 3,꿀
꿀 10g,꿀
꿀 0.5g,꿀
꿀 4g,꿀
꿀(2g),꿀
꿀 7g,꿀
꿀 20g,꿀
꿀 2g(1/3작은술),꿀
꿀(5g),꿀
꿀(100g),꿀
꿀(50g),꿀
꿀 6g,꿀
꿀(15g),꿀
꿀 5g,꿀
꿀(1Ts),꿀
꿀(20g),꿀
꿀 3.5g,꿀
꿀(2Ts),꿀
꿀 30g,꿀
꿀 8g,꿀
꿀(30g),꿀
꿀 3g,꿀
"꿀(10g)
올리브유(20g)",꿀 올리브유
"꿀(5g)
토마토소스 토마토(50g)",꿀 토마토
나무막대기(5개),""
낙지 70g,낙지
낙지 50g,낙지
낙지 20g,낙지
낙지 30g,낙지
낙지 다리(6g),낙지
낙지다리 6g,낙지
날치알(20g),날치알
날치알(50g),날치알
날치알 3g,날치알
날콩가루 80g,콩
날콩가루(10g),콩
날콩가루(3g),콩
"날콩가루 7g(1⅓작은술)
·양념장 : 저염간장 3g(2/3작은술)",콩 간장
"날콩가루(10g)
육수 물(250g)",콩
납작 썬 마늘(10g),마늘
낫토 15g,낫토
"냉스프
두부 120g(1/3모)",두부
냉이 35g,냉이
넉맥약간,넛맥
넛맥 0.5g,넛맥
넛맥가루(약간),넛맥
노두유 1g,노두유
노두유(3g),노두유
노란 파프리카 25g,파프리카
노란 파프리카 10g,파프리카
노란색 각 30g),""
노란색 각 10g),""
노란색 파프리카 25g,파프리카
"노란색파프리카 25g
소스 : 마늘기름 15g",파프리카 마늘
노란콩 25g(불린것 52g),콩
"노란파프리카(20g)
물녹말(녹말가루 10g",파프리카 녹말
노랑,""
노랑 각 1개),""
노랑 각 ½개),""
노랑 각 ⅓개),""
노랑 각 ¼개),""
노랑 각각 10g),""
노랑 파프리카 3g(3×1cm),파프리카
노랑 파프리카(25g),파프리카
노랑 파프리카 3g,파프리카
노랑 파프리카 5g(5×1cm),파프리카
노랑 파프리카(¼개),파프리카
노랑 파프리카(20g),파프리카
노랑파프리카 20g,파프리카
노랑파프리카 24g,파프리카
노랑파프리카 3g,파프리카
노랑파프리카 5g,파프리카
노랑파프리카(20g),파프리카
노랑파프리카 20g - 치킨양념소스 : 토마토케첩 8g,파프리카 토마토
노루궁뎅이버섯 25g(1/2개),버섯
노른자 20g,계란
노른자 각각 1장),계란
녹말(50g),녹말
녹말가루 2.4g,녹말
녹말가루(1g),녹말
녹말가루(2g),녹말
녹말가루 5g,녹말
녹말가루(15g),녹말
녹말가루 1g,녹말
녹말가루 3g,녹말
녹말가루(30g),녹말
녹말 5g,녹말
녹말(20g),녹말
녹말 0.8g,녹말
녹말가루(5g),녹말
녹말가루 10g,녹말
녹말가루(10g),녹말
녹말가루(3g),녹말
녹말가루 8g,녹말
녹말가루(20g),녹말
녹말(10g),녹말
녹말가루(40g),녹말
"녹말가루(10g)
- 곁들임채소 : 어린잎(5g)",녹말 어린잎
"녹말가루(10g)
깻잎(10g)
- 튀김반죽 : 콩가루(20g)",녹말 깻잎 튀김반죽 콩
"녹말가루(50g)
달걀(50g)",녹말 계란
"녹말가루(50g)
달걀흰자(30g)",녹말 계란
"녹말가루(10g)
삼색분말(각 10g)",녹말
"녹말가루(15g)
다진 쇠고기(40g)",녹말 쇠고기
녹말가루 3g [소스소개] 쇠고기양념:파다진것 1g,녹말 쇠고기 파
"녹말가루(20g)
- 육수 : 양파(20g)",녹말 양파
녹말물(18g),녹말
"녹말물(10g)
육수 마늘(7g)",녹말 마늘
녹인 무염 버터(15㎖),버터
녹차가루(30g),녹차
녹차가루(5g),녹차
녹차가루 6g,녹차
녹차(티백,녹차
가루녹차 2g,녹차
가루녹차(1.5g),녹차
녹차 우린 물 90 양념장: 간장 4,녹차 간장
녹차소금 1g,녹차 소금
논우렁 100g,우렁
누룩소금 0.5g,소금
누룽지(50g),쌀
누룽지 50,쌀
누룽지(20g),쌀
누룽지가루 7.5,쌀
누룽지 5g,쌀
"●누룽지: 밥 210g(1공기)
●요거트파르페: 오렌지 40g(1/5개)",쌀 요거트파르페 오렌지
느타리(20g),버섯
느타리버섯(50g),버섯
느타리버섯(10g),버섯
느타리버섯 15g,버섯
느타리버섯(33g),버섯
느타리버섯 7g,버섯
느타리버섯(40g),버섯
느타리버섯 10g,버섯
느타리버섯(25g),버섯
느타리버섯(½줌),버섯
느타리버섯 13g,버섯
느타리버섯(20g),버섯
느타리버섯 16g,버섯
느타리버섯 30,버섯
느타리버섯 20g,버섯
느타리버섯 5g,버섯
느타리버섯(30g),버섯
"느타리버섯(20g)
버터(5g)",버섯 버터
느타리버섯(20g) 육수: 쇠고기(양지 50g,버섯 쇠고기
"느타리버섯(25g)
표고버섯(10g)",버섯
느타리벗서 15g,버섯
다릿살 각 200g),닭
다슬기살 20g,다슬기
다시마 15g(5cm),다시마
다시마(7g),다시마
다시마 1,다시마
다시마(2g),다시마
다시마(5g),다시마
다시마 2g,다시마
다시마 1g,다시마
다시마(2.5g),다시마
다시마 1장(5×1cm),다시마
다시마 17g(15cm),다시마
다시마가루(2Ts),다시마
다시마 10g,다시마
다시마(20g),다시마
다시마 5g,다시마
다시마(100g),다시마
다시마(5×5cm,다시마
다시마,다시마
다시마 30g,다시마
다시마 3g,다시마
다시마(1g),다시마
다시마(10g),다시마
다시마 25g,다시마
다시마(3g),다시마
다시마 국물 3.75g,다시마
다시마 국물 200(물 300,다시마
다시마(3g) 대파(10g),다시마 대파
"다시마(10g)
마늘(10g)",다시마 마늘
"다시마(5g)
물(500ml)",다시마
"다시마(1g)
보리된장 보리(20g)",다시마 된장 보리
"다시마 사방 10x10cm
건조 자른미역 3g",다시마 미역
"다시마(5g)
양념 들깻가루(15g)",다시마 들깨
"다시마(2g)
양념 다진 마늘(1.5g)",다시마 마늘
"다시마(5g)
•양념장 :  된장(2g)",다시마 된장
다시마 육수 100g,다시마
다시마 육수(60g),다시마
다시마 육수 20g [소스소개]저나트륨 간장양념장:간장 1g,다시마 간장
다시마국물 150g,다시마
다시마국물(건다시마 2,다시마
다시마물 5g,다시마
"다시마물(50g)
아귀찜양념 다진 양파(50g)",다시마물 양파
다시마육수(80g),다시마
다시마육수 70g,다시마
다시멸치 1g,멸치
다시멸치 5g,멸치
다시물 12.3g,멸치
다시팩(20g),멸치
다크초콜릿(30g),초콜릿
단감 60g,감
단감 13g,감
단단한 두부 150g,두부
단배추(25g),배추
단호박(30g),호박
단호박작은것 125g,호박
단호박 40g(1/8개),호박
단호박(1개=800g),호박
단호박 40g,호박
단호박 10g,호박
단호박 30g,호박
단호박(1개),호박
단호박(200g),호박
단호박가루(3.5g),호박
단호박 25g,호박
단호박 30g(4×6cm),호박
단호박(80g),호박
단호박(100g),호박
단호박(10g),호박
단호박(7g),호박
단호박 14g,호박
단호박(50g),호박
단호박 70g,호박
단호박(150g),호박
단호박 50g,호박
단호박(1/4개),호박
단호박(25g),호박
단호박 20g,호박
단호박(60g),호박
단호박 18g,호박
단호박 200g,호박
단호박(1/2개),호박
단호박(1/6개),호박
단호박 14.5 g,호박
"단호박(20g)
바나나(20g)",호박 바나나
"단호박 50g
밤 30g",호박 밤
"단호박(35g)
브로콜리(25g)",호박 브로콜리
"단호박가루(20g)
생크림(20g)",호박 생크림
"단호박 25g
찹쌀 50g",호박 쌀
단호박 5g [소스소개] 통깨소스:다시물 9g,호박 통깨
달걀(60g),계란
달걀 15g,계란
달걀 6g,계란
달걀(80g),계란
달걀 35g,계란
달걀(30g),계란
달걀 20g,계란
달걀 4개(240g),계란
달걀(23g),계란
달걀 30g,계란
달걀 60g,계란
달걀 1.0g,계란
달걀 55g,계란
달걀 5g,계란
달걀 30g(1/2개),계란
달걀(2개),계란
달걀(1/2개),계란
달걀(3개),계란
달걀 10g,계란
달걀 12g,계란
삶은달걀 15g,계란
달걀(1/4개),계란
달걀 19g,계란
달걀 120g,계란
삶은 달걀(1개),계란
달걀 50g(1개),계란
달걀(50g),계란
달걀(2.5개),계란
