부추 콩가루 찜,부추 콩가루 찜,"['', '참기름', '참깨', '부추', '마늘', '대파', '고추']","['Chilly', 'Other grains', 'Chives', 'Green onion', 'Garlic']"
해물김치찌개,해물김치찌개,"['', '주꾸미', '두부', '참기름', '양파', '마늘', '대파', '멸치', '무', '김치']","['Radish', 'Beans', 'Other seasonings', 'Garlic', 'Onion', 'Chilly', 'Other grains', 'Other herbage crop', 'Green onion', 'Other fish', 'Other mollusks']"
맑은부대찌개,맑은부대찌개,"['', '미나리', '당면', '후추', '양파', '소금', '버섯', '두부']","['Beans', 'Other seasonings', 'Onion']"
나가사키부대찌개,나가사키부대찌개,"['', '파', '햄', '곤약', '애호박', '밀', '양파', '깻잎', '마늘', '고추', '버섯', '두부', '우유']","['Pork', 'Beans', 'Other seasonings', 'Milk', 'Onion', 'Chilly', 'Other herbage crop', 'Wheat', 'Other fruiting vegetables', 'Green onion', 'Garlic']"
삼계부대찌개,삼계부대찌개,"['', '닭', '당근', '쑥갓', '콩', '마늘', '대파', '고추', '오가피', '대추', '김치', '쌀']","['Beans', 'Other seasonings', 'Chilly', 'Other herbage crop', 'Green onion', 'Other fruiting vegetables', 'Rice', 'Garlic', 'Chicken']"
쑥갓부대찌개,쑥갓부대찌개,"['', '햄', '애호박', '고추장', '마늘', '고추', '버섯', '두부', '김치']","['Pork', 'Beans', 'Other seasonings', 'Chilly', 'Other herbage crop', 'Other fruiting vegetables', 'Garlic']"
들깨순두부찌개,들깨순두부찌개,"['', '들깨', '미나리', '굴', '간장', '소금', '대파', '고추', '멸치', '버섯']","['Oyster', 'Other seasonings', 'Beans', 'Chilly', 'Other grains', 'Green onion', 'Other fish']"
백태순두부찌개,백태순두부찌개,"['', '콩', '대파', '고추', '멸치', '버섯', '새우']","['Other shellfish', 'Beans', 'Other seasonings', 'Chilly', 'Green onion', 'Other fish', 'Shrimp']"
버섯순두부찌개,버섯순두부찌개,"['', '들깨', '미나리', '애호박', '양파', '부추', '간장', '마늘', '대파', '감자', '고추', '버섯', '쌀']","['Beans', 'Other seasonings', 'Onion', 'Chilly', 'Other grains', 'Chives', 'Potato', 'Other fruiting vegetables', 'Green onion', 'Rice', 'Garlic']"
토란순두부찌개,토란순두부찌개,"['', '들깨', '토란', '고추', '순두부', '버섯']","['Beans', 'Other seasonings', 'Chilly', 'Other grains', 'Other root vegetables']"
토마토스프파스타,토마토스프파스타,"['', '토마토', '가지', '애호박', '양파', '마늘', '함초 소금', '먹물파스타', '파프리카']","['Tomato', 'Other seafood', 'Onion', 'Wheat', 'Eggs', 'Other fruiting vegetables', 'Garlic']"
다이어트국수,다이어트국수,"['', '오이', '곤약', '양파', '깨', '깁치국물', '어간장']","['Beans', 'Other seasonings', 'Onion', 'Other grains', 'Cucumber']"
오징어구이,오징어구이,"['', '토마토', '후추', '양파', '고추장', '고추', '오징어', '파프리카']","['Beans', 'Other seasonings', 'Tomato', 'Chilly', 'Onion', 'Other fruiting vegetables', 'Other mollusks']"
배숙구이,배숙구이,"['', '토마토', '배', '과일', '생강']","['Tomato', 'Other fruits']"
웰빙스테이크,웰빙스테이크,"['', '시금치', '레몬', '사과', '버터', '양파', '마늘', '쇠고기']","['Other fruits', 'Onion', 'Beef', 'Butter', 'Garlic', 'Apple']"
오징어콩순대,오징어콩순대,"['', '귀리', '레몬', '후추', '밀', '옥수수', '참기름', '피망', '마늘', '대파', '오징어', '파프리카']","['Other fruits', 'Corn', 'Other grains', 'Wheat', 'Other fruiting vegetables', 'Green onion', 'Garlic', 'Other mollusks']"
토마토소고기장조림,토마토소고기장조림,"['메추리알', '', '토마토', '설탕', '후추', '마늘', '소고기', '고추', '어간장']","['Beans', 'Other seasonings', 'Tomato', 'Chilly', 'Beef', 'Garlic']"
토마토소고기찜,토마토소고기찜,"['', '파슬리', '토마토', '레몬', '후추', '당근', '버터', '샐러리', '소고기', '함초 소금']","['Other fruits', 'Tomato', 'Other seafood', 'Other herbage crop', 'Beef', 'Butter']"
맛간장삼치구이,맛간장삼치구이,"['', '삼치', '대파', '깨', '커피', '생강']","['Other grains', 'Green onion', 'Other fish']"
삼겹살꼬치구이,삼겹살꼬치구이,"['', '토마토', '레몬', '후추', '로즈마리', '마늘기름', '마늘', '고추', '돼지고기']","['Other fruits', 'Pork', 'Tomato', 'Chilly', 'Other herbage crop', 'Garlic']"
새우아욱죽,새우아욱죽,"['새우', '귀리', '아욱', '된장']","['Other shellfish', 'Beans', 'Other seasonings', 'Other grains', 'Shrimp']"
까르보나라뇨끼,까르보나라뇨끼,"['', '설탕', '후추', '버터', '양파', '베이컨', '감자', '대파', '치즈', '깻잎']","['Onion', 'Potato', 'Other herbage crop', 'Cheese', 'Green onion', 'Butter']"
호박죽,호박죽,"['', '후추', '호박', '양파', '브로컬리', '치즈', '쌀']","['Onion', 'Other herbage crop', 'Cheese', 'Other fruiting vegetables', 'Rice']"
라이스버거떡갈비,라이스버거떡갈비,"['', '미나리', '후추', '쪽파', '양파', '간장', '고추', '버섯', '돼지고기', '전분', '쌀']","['Pork', 'Beans', 'Other seasonings', 'Chilly', 'Onion', 'Green onion', 'Rice']"
고추김치,고추김치,"['', '부추', '고추', '깨', '연근']","['Chives', 'Other root vegetables', 'Other grains', 'Chilly']"
누룽닭,누룽닭,"['', '닭', '후추', '주꾸미', '양파', '샐러리', '마늘', '소금', '식용유', '새우']","['Other shellfish', 'Garlic', 'Onion', 'Other herbage crop', 'Shrimp', 'Other mollusks', 'Chicken']"
광어스테이크,광어스테이크,"['', '꿀', '후추', '아몬드', '소금', '광어', '호두']","['Almond', 'Walnut', 'Other fish']"
치즈감자크로켓,치즈감자크로켓,"['', '생크림', '당근', '밀', '양파', '치즈', '감자', '식용유']","['Onion', 'Potato', 'Wheat', 'Cheese', 'Other dairy products']"
코코넛밀크카레,코코넛밀크카레,"['', '강황', '소금', '브로컬리', '두부', '코코넛', '돼지고기']","['Other herbage crop', 'Pork', 'Beans', 'Other seasonings']"
소고기리조또롤,소고기리조또롤,"['', '생크림', '양파', '강항', '소금', '버섯', '쌀']","['Onion', 'Rice', 'Other dairy products']"
둥지튀김,둥지튀김,"['', '설탕', '연유', '닭', '후추', '녹말', '소금', '백년초국수', '식초', '생강']","['Other herbage crop', 'Milk', 'Chicken']"
새우와스테이크,새우와스테이크,"['', '설탕', '가지', '당근', '버터', '마늘', '소고기', '대파', '새우']","['Other shellfish', 'Beef', 'Green onion', 'Other fruiting vegetables', 'Butter', 'Garlic', 'Shrimp']"
함초삼겹,함초삼겹,"['', '설탕', '쌈장', '당근', '양파', '소금', '돼지고기', '함초']","['Pork', 'Beans', 'Other seasonings', 'Other seafood', 'Onion', 'Chilly']"
햄버거스테이크,햄버거스테이크,"['', '후추', '소고기', '빵', '돼지고기', '요거트', '식초']","['Pork', 'Milk', 'Beef', 'Wheat', 'Eggs', 'Butter']"
유자삼치구이,유자삼치구이,"['', '레몬', '녹말', '삼치', '소금', '식용유', '생강']","['Other fruits', 'Other fish']"
냉토마토파스타,냉토마토파스타,"['', '토마토', '당근', '양파', '브로컬리', '월계수', '파스타']","['Tomato', 'Onion', 'Other herbage crop', 'Wheat', 'Eggs']"
닭고기또띠아,닭고기또띠아,"['', '닭', '애호박', '올리고당', '머스터드', '양파', '버섯', '또띠아', '우유', '파프리카']","['Milk', 'Onion', 'Wheat', 'Other fruiting vegetables', 'Chicken']"
닭고기스테이크,닭고기스테이크,"['', '닭', '후추', '오이', '소금', '흑임자', '우유']","['Cucumber', 'Milk', 'Chicken']"
오징어순대,오징어순대,"['', '레몬', '당근', '양파', '마늘', '대파', '오징어', '두부', '생강']","['Other fruits', 'Beans', 'Other seasonings', 'Onion', 'Green onion', 'Garlic', 'Other mollusks']"
연어차우더스프,연어차우더스프,"['', '생크림', '후추', '밀', '버터', '피망', '마늘', '감자', '연어', '조개']","['Other shellfish', 'Potato', 'Wheat', 'Other fruiting vegetables', 'Other fish', 'Butter', 'Garlic', 'Other dairy products']"
시금치브로컬리 파스타,시금치브로컬리 파스타,"['', '시금치', '생크림', '올리브오일', '바질', '브로컬리', '소금', '새우', '스파게티면']","['Other shellfish', 'Other herbage crop', 'Wheat', 'Eggs', 'Shrimp', 'Other dairy products']"
야채찜을 곁들인 광어스테이크,야채찜을 곁들인 광어스테이크,"['', '레몬', '가지', '당근', '호박', '와사비', '발사믹소스', '콜리플라워', '간장', '광어', '파프리카']","['Other fruits', 'Beans', 'Other seasonings', 'Other fruiting vegetables', 'Other fish']"
연근부각,연근부각,"['계피', '소금', '식용유', '연근', '식초']",['Other root vegetables']
오이냉국을 곁들인 오색쌈밥,오이냉국을 곁들인 오색쌈밥,"['', '미나리', '오이', '애호박', '참기름', '양파', '고추장', '소금', '도라지', '고추', '청포묵', '라이스페이퍼', '계란', '무', '돼지고기', '쌀']","['Radish', 'Pork', 'Beans', 'Other seasonings', 'Chilly', 'Onion', 'Other grains', 'Eggs', 'Other fruiting vegetables', 'Rice', 'Other root vegetables', 'Cucumber']"
카레탄두리치킨과 닭가슴살냉채,카레탄두리치킨과 닭가슴살냉채,"['아스파라거스', '닭', '오이', '당근', '강황', '양파', '인삼', '오곡', '머스타드', '대추', '파프리카']","['Onion', 'Other grains', 'Other fruiting vegetables', 'Other root vegetables', 'Cucumber', 'Chicken']"
컬리플라워소스 광어스테이크,컬리플라워소스 광어스테이크,"['시금치', '후추', '가지', '호박', '당근', '콜리플라워', '양파', '소금', '감자', '광어', '우유']","['Milk', 'Onion', 'Potato', 'Other fruiting vegetables', 'Other fish']"
콜라비오미자 물김치,콜라비오미자 물김치,"['무화과', '새우', '쪽파', '오미자', '양파', '다시마', '피망', '소금', '콜라비', '파프리카']","['Other shellfish', 'Other fruits', 'Other seafood', 'Onion', 'Green onion', 'Shrimp', 'Other fruiting vegetables']"
크림소스치킨롤,크림소스치킨롤,"['', '아스파라거스', '닭', '후추', '버터', '바질', '마늘', '베이컨', '치즈', '소금', '버섯', '새우']","['Other shellfish', 'Other herbage crop', 'Cheese', 'Shrimp', 'Butter', 'Garlic', 'Chicken']"
표고버섯 감자찜,표고버섯 감자찜,"['고수', '당근', '녹말', '양파', '감자', '고추', '버섯']","['Other herbage crop', 'Chilly', 'Potato', 'Onion']"
해물애호박 전병말이,해물애호박 전병말이,"['설탕', '당근', '애호박', '밀', '간장', '소금', '오징어', '깻잎', '새우', '대추', '식초', '쌀']","['Other shellfish', 'Beans', 'Other seasonings', 'Other herbage crop', 'Wheat', 'Other fruiting vegetables', 'Shrimp', 'Rice', 'Other mollusks']"
찬밥이용닭죽,찬밥이용닭죽,"['', '닭', '후추', '당근', '양파', '부추', '마늘', '소금', '감자', '쌀']","['Onion', 'Chives', 'Potato', 'Rice', 'Garlic', 'Chicken']"
감자느타리버섯국,감자느타리버섯국,"['', '파', '다시마', '마늘', '소금', '감자', '고추', '멸치', '버섯', '두부']","['Beans', 'Other seasonings', 'Other seafood', 'Chilly', 'Potato', 'Green onion', 'Other fish', 'Garlic']"
민어매운탕,민어매운탕,"['', '민어', '후추', '애호박', '쑥갓', '참기름', '양파', '간장', '마늘', '대파', '쇠고기', '고추', '소금 고추', '맛술', '버섯', '무', '생강']","['Radish', 'Beans', 'Other seasonings', 'Onion', 'Chilly', 'Other herbage crop', 'Other grains', 'Beef', 'Other fruiting vegetables', 'Green onion', 'Garlic']"
아몬드치킨볼,아몬드치킨볼,"['', '들깨', '닭', '버터', '양파', '브로컬리', '마늘', '버섯', '우유']","['Milk', 'Onion', 'Other grains', 'Other herbage crop', 'Butter', 'Garlic', 'Chicken']"
양배추롤,양배추롤,"['', '참기름', '다시마', '간장', '새우', '쌀']","['Other shellfish', 'Beans', 'Other seasonings', 'Other seafood', 'Other grains', 'Shrimp', 'Rice']"
생선베이컨말이,생선베이컨말이,"['', '시금치', '생크림', '버터', '피망', '새싹', '파프리카']","['Butter', 'Other fruiting vegetables', 'Other dairy products']"
콩고기샐러드,콩고기샐러드,"['', '꿀', '토마토', '로즈마리', '콩', '아보카도', '바나나', '식초']","['Beans', 'Other seasonings', 'Tomato', 'Other herbage crop', 'Banana']"
퀴노아닭가슴살샐러드,퀴노아닭가슴살샐러드,"['', '수박', '토마토', '아스파라거스', '닭', '피망', '감자', '퀴노아', '요거트']","['Other fruits', 'Tomato', 'Potato', 'Other grains', 'Other fruiting vegetables', 'Chicken']"
바나나크림파스타,바나나크림파스타,"['', '토마토', '햄', '휘핑크림', '아보카도', '양파', '마늘', '소금', '바나나', '스파게티면']","['Pork', 'Tomato', 'Onion', 'Wheat', 'Eggs', 'Banana', 'Garlic', 'Other dairy products']"
산채쌀파스타,산채쌀파스타,"['', '들기름', '참나물', '애호박', '양파', '깻잎', '청국장', '취나물', '겨자', '고추', '신선초']","['Beans', 'Other seasonings', 'Onion', 'Chilly', 'Other grains', 'Other herbage crop', 'Other fruiting vegetables']"
황태포당면국수,황태포당면국수,"['', '당면', '후추', '당근', '양파', '간장', '소금', '대파', '고추', '감자']","['Beans', 'Other seasonings', 'Chilly', 'Onion', 'Potato', 'Green onion']"
닭갈비볶음면,닭갈비볶음면,"['', '닭', '쪽파', '이태리시즈닝', '참기름', '양파', '고추장', '마늘', '고추', '깻잎', '파프리카']","['Beans', 'Other seasonings', 'Chilly', 'Onion', 'Other grains', 'Other herbage crop', 'Green onion', 'Other fruiting vegetables', 'Garlic', 'Chicken']"
오색볶음면,오색볶음면,"['', '설탕', '청경채', '라면', '양파', '고추기름', '라면스프', '두반장']","['Wheat', 'Beans', 'Onion', 'Chilly']"
로제소스라면,로제소스라면,"['', '파슬리', '생크림', '라면', '홍합', '치즈', '버섯', '새우', '조개', '우유']","['Other shellfish', 'Milk', 'Chilly', 'Wheat', 'Cheese', 'Shrimp', 'Mussel', 'Other dairy products']"
라면월남쌈튀김,라면월남쌈튀김,"['', '파', '라면', '배', '간장', '마늘', '라이스페이퍼', '쇠고기', '파인애플', '파프리카']","['Other fruits', 'Beans', 'Other seasonings', 'Chilly', 'Beef', 'Wheat', 'Green onion', 'Other fruiting vegetables', 'Rice', 'Garlic']"
삼겹살라면,삼겹살라면,"['', '설탕', '라면', '대파', '맛술', '생강']","['Wheat', 'Green onion', 'Chilly']"
유자샐러드라면,유자샐러드라면,"['', '올리브오일', '라면', '양상추', '케일', '파프리카']","['Other herbage crop', 'Wheat', 'Other fruiting vegetables', 'Chilly']"
주꾸미머리순대,주꾸미머리순대,"['', '레몬', '미나리', '당근', '주꾸미', '양파', '깨', '생강']","['Other mollusks', 'Other grains', 'Other fruits', 'Onion']"
매실동치미,매실동치미,"['', '함초 소금', '사과', '배', '고추', '연근', '무', '생강']","['Radish', 'Other fruits', 'Other seafood', 'Chilly', 'Other root vegetables', 'Apple']"
조기까스,조기까스,"['', '조기', '후추', '마늘오일', '포도', '간장', '허브']","['Other fruits', 'Beans', 'Other seasonings', 'Other herbage crop', 'Garlic']"
돼지머리수육맑은전골,돼지머리수육맑은전골,"['', '우동면', '미나리', '간장', '마늘', '대파', '고추', '돼지고기']","['Pork', 'Beans', 'Other seasonings', 'Chilly', 'Wheat', 'Green onion', 'Garlic']"
