꿀생강청,꿀생강청!,"['설탕', '꿀', '생강']","['Honey', 'Ginger']"
스위트콘핫케이크,스위트콘 핫케이크,"['옥수수', '', '버터', '우유', '계란', '바나나', '딸기']","['Other fruits', 'Corn', 'Butter', 'Eggs', 'Banana']"
딸기수플레팬케이크,홈파티/생딸기수플레팬케이크,"['버터', '우유', '', '설탕', '계란', '밀', '메이플 시럽', '올리브유', '딸기']","['Eggs', 'Wheat', 'Other fruits', 'Butter']"
김치참치샌드위치,김치참치샌드위치 만드는 법 샌드위치메이커로 만드는 법도 있어요,"['버터', '', '빵', '김치', '마요네즈', '양상추', '소금', '참치']","['Butter', 'Chilly', 'Other fish', 'Wheat', 'Eggs', 'Other herbage crop']"
베이글치아바타샌드위치,치아바타 샌드위치 ,"['', '치커리', '빵', '치즈', '마요네즈', '햄', '양파', '사과']","['Onion', 'Butter', 'Wheat', 'Pork', 'Eggs', 'Cheese', 'Other herbage crop']"
닭가슴살샐러드,닭가슴살샐러드,"['', '우유', '참기름', '식초', '닭', '오렌지', '채소', '마늘', '양상추', '상추', '간장']","['Other fruits', 'Chicken', 'Beans', 'Other grains', 'Green onion', 'Garlic', 'Other fruiting vegetables', 'Other herbage crop']"
오렌지레몬청,오렌지레몬청 만들기,"['', '설탕', '레몬', '식초', '오렌지']",['Other fruits']
가지나물조림,가지나물조림볶음 백종원 굴소스 황금레시피 남편아이 도시락 7월 여름제철밑반찬,"['설탕', '', '고추', '굴소스', '가지', '식용유', '파', '양파']","['Chilly', 'Other seasonings', 'Oyster', 'Onion']"
딸기바나나스무디볼,"더운 여름 시원하고 새콤한 ""딸기 바나나 스무디 볼""","['우유', '딸기', '바나나', '생크림']","['Other dairy products', 'Banana', 'Other fruits']"
흑임자연두부샐러드,양파 연두부 흑임자 볶음,"['', '설탕', '양배추', '양파', '두부', '소금']","['Onion', 'Other herbage crop']"
배마주스,[식약처] 배마주스,"['우유', '배', '마']","['Other fruits', 'Other root vegetables']"
딸기치즈케이크,딸기 치즈케이크,"['설탕', '', '치즈', '계란', '생크림', '밀', '딸기']","['Other dairy products', 'Other fruits', 'Wheat', 'Eggs', 'Cheese']"
젤리푸딩,무더위를 잊게 해주는 딸기젤리푸딩,"['', '설탕', '젤라틴', '생크림', '딸기', '산딸기']","['Other dairy products', 'Other fruits', 'Pork']"
배도라지생강차,배생강차,"['대추', '생강', '배']","['Other fruits', 'Ginger']"
감자샐러드모닝빵샌드위치,감자샐러드 모닝빵 샌드위치,"['', '옥수수', '빵', '후추', '맛살', '감자', '마요네즈', '소금']","['Corn', 'Butter', 'Pepper', 'Crab', 'Other fish', 'Wheat', 'Eggs', 'Potato']"
크림치즈파운드케이크,크림치즈파운드케이크,"['버터', '설탕', '', '계란', '치즈', '밀']","['Eggs', 'Cheese', 'Wheat', 'Butter']"
대추생강차,대추생강차,"['설탕', '', '대추', '생강']",['Ginger']
들깨무청시래기국,"쌀쌀해진 날씨, 고소한 들깨 무청 시래기국","['', '고추', '된장', '쌀', '마늘', '다시마', '무']","['Beans', 'Chilly', 'Wheat', 'Garlic', 'Radish', 'Rice']"
치즈감자샐러드샌드위치,썰어먹는 샌드위치 - 치즈 감자샐러드 샌드위치 ,"['옥수수', '', '빵', '치즈', '후추', '감자', '마요네즈', '햄', '소금']","['Corn', 'Butter', 'Pepper', 'Wheat', 'Pork', 'Eggs', 'Cheese', 'Potato']"
딸기스크램블에그샌드위치,스크램블 에그 샌드위치,"['우유', '빵', '치즈', '계란', '햄', '기름', '소금']","['Butter', 'Wheat', 'Pork', 'Eggs', 'Cheese']"
그릭요거트산딸기케이크,그릭요거트 산딸기 케이크 만들기,"['오예스', '', '요거트']","['Eggs', 'Wheat', 'Butter']"
으깬감자샐러드,으깬감자샐러드 만들기 부드러운 감자사라다,"['버터', '', '계란', '당근', '후추', '꿀', '감자', '마요네즈', '오이', '소금']","['Honey', 'Cucumber', 'Butter', 'Pepper', 'Other root vegetables', 'Eggs', 'Potato']"
요구르트아이스크림,오디요구르트 아이스크림,"['', '요거트']",[]
무화과잼,무화과 잼 무화과 쨈 만들기 ,"['설탕', '', '무화과']",[]
계란식빵핫도그,엄마표 계란식빵핫도그,"['', '빵', '계란', '후추', '마요네즈', '양파', '소금']","['Onion', 'Butter', 'Pepper', 'Wheat', 'Eggs']"
딸기아로니아요거트스무디,딸기아로니아요거트스무디 ♡베리베리요거트스무디 만들기,"['', '요거트', '딸기']",['Other fruits']
대패삼겹살덮밥,대패삼겹살덮밥,"['', '설탕', '고추', '참기름', '고추장', '마늘', '식용유', '돼지고기', '파', '간장', '쌀']","['Beans', 'Other grains', 'Chilly', 'Wheat', 'Pork', 'Garlic', 'Rice']"
ABC주스,해독주스-ABC주스 [다이어트],"['', '당근', '비트', '사과']",['Other root vegetables']
에그치즈베이글샌드위치,에그 치즈 베이글 샌드위치,"['버터', '빵', '계란', '치즈', '후추', '메이플 시럽', '마요네즈', '소금']","['Butter', 'Pepper', 'Wheat', 'Eggs', 'Cheese']"
고구마샐러드돈까스,고구마샐러드 돈까스,"['', '돈가스', '양배추', '토마토', '마요네즈', '식용유']","['Tomato', 'Wheat', 'Pork', 'Eggs', 'Other herbage crop']"
