name,food_name,ingredients
땡초어묵김밥,땡초장을 활용한 땡초어묵김밥,"['김밥김', '밥', '어묵', '양파', '깻잎', '땡초장', '참기름', '올리고당', '소금', '후추', '식용유']"
표고버섯강정,표고버섯강정 ,"['표고버섯', '찹쌀가루', '녹말가루', '아몬드가루', '식용유', '고추장', '진간장', '매실액', '올리고당', '맛술', '다진마늘']"
강황버섯콩나물밥,초간단요리 면역력 높이는 간단한 한끼 강황버섯콩나물밥,"['쌀', '물', '강황가루', '느타리버섯', '청양고추', '참치액', '간장', '파', '통깨', '고추가루', '참기름']"
두부베이컨말이떡꼬치,두부 베이컨말이 떡꼬치,"['두부', '베이컨(대)', '떡볶이떡', '멸치육수', '고추장', '간장', '케찹', '물엿', '매실액']"
김치순두부오트밀죽,다이어트 동안 날마다 먹어도 질리지 않을맛 김치순두부오트밀죽 ,"['순두부', '김치', '물', '맛송이버섯 또는 새송이버섯', '오트밀', '참치액', '들깨가루']"
사과오이샐러드,참나물페스토사과오이샐러드,"['사과', '오이', '참나물페스토', '올리고당']"
단호박샐러드토스트,"어린이날 간식..단호박샐러드토스트
단 샐 토~~","['단호박', '양파', '식빵', '마요네즈', '갈릭소스', '설탕', '후추', '케첩', '파슬리가루']"
머랭쿠키딸기케이크,"머랭쿠키로 만든 딸기케이크, 머랭쿠키딸기케이크, 머랭쿠키 만드는법","['\u200b계란 흰자', '설탕', '딸기', '생크림']"
블루베리치즈케이크,블루베리 치즈케이크,"['통밀쿠키', '버터', '생블루베리', '설탕', '크림치즈', '설탕', '달걀', '옥수수전분', '사워크림', '생크림', '레몬즙']"
야채궁중떡볶이,간단한 아이간식 야채궁중떡볶이 ,"['가래떡', '양파', '당근', '노랑파프리카', '쪽파', '어묵', '간장', '굴소스', '꿀', '다진마늘', '참기름', '설탕', '깨소금', '후추']"
맛살콘샐러드,맛살콘샐러드 레시피,"['캔옥수수', '양파', '맛살', '마요네즈', '식초', '설탕', '소금', '후추', '파슬리가루']"
꿀호떡프렌치토스트,한입 베어물면 꿀이 쭈우욱 ★ 꿀호떡프렌치토스트 ★,"['꿀호떡', '달걀', '우유', '설탕', '버터']"
식빵인절미호떡,씨앗호떡 같아요~ 식빵 인절미호떡,"['식빵', '인절미', '흑설탕', '통깨', '다진 아몬드']"
압력솥약밥,추석 명절요리 건강간식 압력밥솥 약식/압력솥 약밥,"['찹쌀', '대추', '모둠 견과류', '물', '황설탕', '참기름', '진간장', '계피가루', '소금']"
바나나인절미토스트,"잼이 없다면 바나나를 으깨 보세요~ 바나나 인절미토스트, 인절미토스트","['바나나', '조청', '다진 아몬드', '쫀득한 인절미', '식빵']"
고추참치구운주먹밥,고추참치로 고추참치 구운 주먹밥 만들어 보세요.,"['고추참치', '밥', '참기름', '소금', '깨소금', '참치액']"
크래미계란볶음밥,크래미계란볶음밥 레시피,"['밥', '크래미', '청피망', '파프리카', '대파', '달걀', '검은깨', '양조간장', '참치액', '올리고당', '식용유', '소금', '설탕']"
블루베리크림치즈케이크,블루베리 크림치즈 케이크 만들기,"['박력분', '버터', '크림치즈', '설탕', '소금', '베이킹파우더', '우유', '바닐라 엑스트랙', '블루베리', '달걀']"
통밀계란피자빵, 초간단 계란빵 피자 ,"['계란', '양파', '모닝빵', '짱구 과자', '피자치즈', '토마토소스', '소금', '파슬리가루', '식용유']"
식혜밀떡볶이,SNS 핫한 식혜떡볶이,"['떡볶이떡', '사각어묵', '봉어묵', '삶은계란', '대파', '식혜', '물', '고추장', '고춧가루', '다진마늘', '후춧가루', '통깨']"
통가래떡꼬치,통 가래떡 꼬치,"['가래떡', '고추장', '케첩', '설탕', '진간장', '참기름', '통깨']"
치즈떡볶이밥,이건 꼭 먹어야해...! 치즈 떡볶이밥 만들기,"['떡', '어묵', '비엔나소시지', '고추장', '간장', '설탕', '물']"
새싹어린잎채소비빔밥,참드림쌀로 만든 고기쌈장 새싹어린잎채소 비빔밥,"['쌀', '어린잎채소 또는 새싹채소', '돼지고기 다짐육', '양파', '새송이버섯', '감자', '청양고추', '쪽파', '된장', '고추장', '다진마늘', '맛술', '설탕', '물엿', '통깨']"
팬케이크핫도그,팬케이크핫도그로 아이들간식 만들기,"['후랑크소시지', '핫케익가루', '달걀', '우유', '식용유', '케첩']"
딸기초코케이크,딸기초코케이크 만들기,"['박력분', '무가당 코코아가루', '계란', '설탕', '물', '카놀라유', '베이킹파우더', '바닐라익스트렉 오일', '생크림', '무가당 코코아가루', '설탕', '딸기', '슈가파우더']"
치즈짜장밥,[짜장밥]오뚜기짜장분말로 짜장밥 만들기,"['감자', '양파', '당근', '애호박', '양배추 반통의', '카레용 돼지고기', '청양고추', '홍고추', '오뚜기짜장가루', '물', '미향', '후추', '다진마늘']"
키위바나나오트밀빵,(유아식)아기간식 새콤달콤 전자렌지로 간편하게!! 비타민 충전 [키위바나나오트밀빵],"['키위', '바나나', '계란', '오트밀 또는 쌀가루']"
엄나무순나물비빔밥,엄나무순 무침,"['엄나무순', '소금', '다진마늘', '소금', '깨소금', '들기름']"
